iter	Passed	Remaining
1073	40551	8117
1074	40588	8079
1075	40622	8041
1076	40656	8002
1077	40697	7965
1078	40735	7928
1079	40776	7891
1080	40818	7854
1081	40859	7816
1082	40894	7778
1083	40931	7740
1084	40967	7702
1085	41002	7664
1086	41037	7626
1087	41073	7587
1088	41107	7549
1089	41143	7511
1090	41179	7473
1091	41214	7435
1092	41250	7397
1093	41291	7360
1094	41333	7322
1095	41372	7285
1096	41411	7248
1097	41452	7210
1098	41492	7173
1099	41530	7135
1100	41570	7098
1101	41608	7060
1102	41647	7023
1103	41686	6985
1104	41725	6947
1105	41761	6909
1106	41804	6873
1107	41846	6835
1108	41883	6798
1109	41926	6761
1110	41962	6723
1111	41997	6684
1112	42036	6647
1113	42072	6609
1114	42107	6570
1115	42142	6532
1116	42177	6494
1117	42216	6457
1118	42252	6418
1119	42290	6381
1120	42327	6343
1121	42366	6305
1122	42403	6268
1123	42440	6230
1124	42475	6192
1125	42510	6153
1126	42550	6116
1127	42584	6078
1128	42621	6040
1129	42658	6002
1130	42694	5964
1131	42731	5926
1132	42765	5888
1133	42801	5850
1134	42836	5812
1135	42873	5774
1136	42910	5736
1137	42946	5698
1138	42983	5660
1139	43025	5623
1140	43062	5585
1141	43097	5547
1142	43133	5509
1143	43170	5471
1144	43204	5433
1145	43239	5395
1146	43275	5357
1147	43311	5319
1148	43346	5281
1149	43381	5243
1150	43419	5205
1151	43453	5167
1152	43487	5129
1153	43522	5091
1154	43560	5053
1155	43595	5015
1156	43636	4978
1157	43676	4940
1158	43713	4903
1159	43751	4865
1160	43791	4827
1161	43826	4790
1162	43863	4752
1163	43902	4714
1164	43943	4677
1165	43992	4640
1166	44028	4602
1167	44063	4564
1168	44100	4527
1169	44136	4489
1170	44171	4451
1171	44207	4413
1172	44242	4375
1173	44278	4337
1174	44315	4299
1175	44351	4261
1176	44386	4223
1177	44425	4186
1178	44464	4148
1179	44500	4110
1180	44536	4072
1181	44571	4034
1182	44609	3997
1183	44646	3959
1184	44685	3921
1185	44747	3886
1186	44787	3848
1187	44823	3810
1188	44857	3772
1189	44895	3734
1190	44931	3697
1191	44964	3659
1192	45000	3621
1193	45036	3583
1194	45074	3545
1195	45108	3507
1196	45147	3469
1197	45182	3432
1198	45222	3394
1199	45259	3356
1200	45297	3319
1201	45333	3281
1202	45370	3243
1203	45406	3205
1204	45440	3167
1205	45475	3129
1206	45509	3091
1207	45550	3054
1208	45586	3016
1209	45723	2985
1210	45781	2948
1211	45816	2910
1212	45850	2872
1213	45884	2834
1214	45917	2796
1215	45951	2758
1216	45986	2720
1217	46020	2682
1218	46056	2644
1219	46091	2606
1220	46126	2568
1221	46163	2531
1222	46199	2493
1223	46235	2455
1224	46273	2417
1225	46309	2379
1226	46344	2341
1227	46379	2303
1228	46415	2266
1229	46450	2228
1230	46488	2190
1231	46522	2152
1232	46562	2114
1233	46596	2076
1234	46631	2038
1235	46664	2000
1236	46697	1963
1237	46732	1925
1238	46770	1887
1239	46807	1849
1240	46842	1811
1241	46878	1774
1242	46915	1736
1243	46951	1698
1244	46986	1660
1245	47022	1622
1246	47059	1585
1247	47098	1547
1248	47136	1509
1249	47170	1471
1250	47206	1433
1251	47241	1396
1252	47275	1358
1253	47309	1320
1254	47346	1282
1255	47388	1245
1256	47421	1207
1257	47457	1169
1258	47492	1131
1259	47526	1093
1260	47563	1056
1261	47599	1018
1262	47639	980
1263	47688	943
1264	47728	905
1265	47769	867
1266	47805	830
1267	47845	792
1268	47880	754
1269	47915	716
1270	47953	679
1271	47993	641
1272	48030	603
1273	48067	565
1274	48103	528
1275	48140	490
1276	48176	452
1277	48215	414
1278	48268	377
1279	48305	339
1280	48344	301
1281	48379	264
1282	48414	226
1283	48452	188
1284	48501	150
1285	48535	113
1286	48572	75
1287	48612	37
1288	48650	0
